Title,Rating,Image_URL,Local_Image_Path,Listing_URL,City,Price_Clean,Image_Exists
Room in Islamabad,4.94,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\821337784345136526_1fd9037a_p1.png,https://www.airbnb.com/rooms/821337784345136526?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1601632720&source_impression_id=p3_1754985534_P3GgbmW0rTq3hpBZ&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$530.00,True
Room in Islamabad,5.0,https://a0.muscache.com/im/pictures/user/User/original/f41cc732-924b-4deb-b60e-3ab0a0e526fd.jpeg?aki_policy=profile_small,output\images\islamabad\1353663454936590098_66e4b0eb_p1.jpeg,https://www.airbnb.com/rooms/1353663454936590098?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2170624609&source_impression_id=p3_1754985534_P3_trRn4U8jCli0Q&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$406.00,True
Room in Islamabad,4.93,https://a0.muscache.com/im/pictures/user/ceb2122e-30c9-4543-9084-11eb0a7ce02e.jpg?aki_policy=profile_small,output\images\islamabad\581703137932548906_85ef2a3e_p1.jpg,https://www.airbnb.com/rooms/581703137932548906?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1911267538&source_impression_id=p3_1754985534_P3jxxk2bZDRXH8oi&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$894.00,True
Condo in Rawalpindi,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1466752829789457346/original/9e91b934-241d-4b89-a9a9-6113c160a6fb.jpeg,output\images\islamabad\1466752829789457346_94afb548_p1.jpeg,https://www.airbnb.com/rooms/1466752829789457346?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3dLeaT-2ZIObv5-&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$364.00,True
Apartment in Islamabad,4.96,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\1177312156503382342_1fd9037a_p1.png,https://www.airbnb.com/rooms/1177312156503382342?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3-JLN5lDch2dU-v&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$1386.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\1465842288602672487_1fd9037a_p1.png,https://www.airbnb.com/rooms/1465842288602672487?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3X6mdekVXha1gPK&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$675.00,True
Room in Islamabad,4.92,https://a0.muscache.com/im/pictures/user/f6f363df-7a37-4ead-bfd8-ad3374ed527f.jpg?aki_policy=profile_small,output\images\islamabad\35432309_8eb7cee0_p1.jpg,https://www.airbnb.com/rooms/35432309?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1037204718&source_impression_id=p3_1754985534_P3tq0laKMKoC_9jB&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$445.00,True
Apartment in Islamabad,5.0,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,output\images\islamabad\1454534749108303824_1fd9037a_p1.png,https://www.airbnb.com/rooms/1454534749108303824?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3N_dBM0NTUNrqzn&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$582.00,True
Condo in Islamabad,4.88,https://a0.muscache.com/im/pictures/hosting/Hosting-1260636450276573445/original/0b6f5b8f-d29f-4291-bead-534b6a0ce366.jpeg,output\images\islamabad\1260636450276573445_1628cb3d_p1.jpeg,https://www.airbnb.com/rooms/1260636450276573445?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3lrO2yxMaEL1w8M&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$1111.00,True
Apartment in Islamabad,0.0,https://a0.muscache.com/im/pictures/hosting/Hosting-1478157520303468402/original/9df8ad2d-5c6d-485c-a5af-d2a542eb92db.jpeg,output\images\islamabad\1478157520303468402_83226c62_p1.jpeg,https://www.airbnb.com/rooms/1478157520303468402?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754985534_P3cqZeqYHQSWssIT&previous_page_section_name=1000&federated_search_id=ba1ee086-fd43-49ed-b518-fa50d6caf0c3,Islamabad,$732.00,True
