Title,Price,Rating,Reviews,Image_URL,Listing_URL,City,Page,Scraped_At
Room in Islamabad,"$530 $454 Show price breakdown $454 monthly, originally $530 monthly",4.94,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/821337784345136526?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1601632720&source_impression_id=p3_1754981074_P3Xd3TQkZaI6CEKG&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.513076
Room in Islamabad,"$406 $309 Show price breakdown $309 monthly, originally $406 monthly",5,,https://a0.muscache.com/im/pictures/user/User/original/f41cc732-924b-4deb-b60e-3ab0a0e526fd.jpeg?im_w=720,https://www.airbnb.com/rooms/1353663454936590098?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=2170624609&source_impression_id=p3_1754981074_P3MWplk71qGH4tJe&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.519507
Room in Islamabad,"$894 $703 Show price breakdown $703 monthly, originally $894 monthly",4.93,,https://a0.muscache.com/im/pictures/user/ceb2122e-30c9-4543-9084-11eb0a7ce02e.jpg?im_w=720,https://www.airbnb.com/rooms/581703137932548906?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1911267538&source_impression_id=p3_1754981074_P30b7UAVKVVfCBQ_&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.523504
Condo in Rawalpindi,"$364 $294 Show price breakdown $294 monthly, originally $364 monthly",,,https://a0.muscache.com/im/pictures/hosting/Hosting-1466752829789457346/original/9e91b934-241d-4b89-a9a9-6113c160a6fb.jpeg?im_w=720,https://www.airbnb.com/rooms/1466752829789457346?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3Fxp8ym-TF0dygM&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.527165
Apartment in Islamabad,"$1,386 $1,254 Show price breakdown $1,254 monthly, originally $1,386 monthly",4.96,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/1177312156503382342?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3kfoQ-iUC33Z069&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.532857
Apartment in Islamabad,$675 Show price breakdown $675 monthly monthly,5,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/1465842288602672487?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3QKuEBCEdmwz8gH&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.536344
Room in Islamabad,"$445 $373 Show price breakdown $373 monthly, originally $445 monthly",4.92,,https://a0.muscache.com/im/pictures/user/f6f363df-7a37-4ead-bfd8-ad3374ed527f.jpg?im_w=720,https://www.airbnb.com/rooms/35432309?search_mode=regular_search&adults=1&category_tag=Tag%3A8678&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&photo_id=1170075138&source_impression_id=p3_1754981074_P3A5_JRTckfOj2U0&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.542972
Apartment in Islamabad,"$582 $471 Show price breakdown $471 monthly, originally $582 monthly",5,,https://a0.muscache.com/pictures/airbnb-platform-assets/AirbnbPlatformAssets-email-dls-icons/original/c3c390ab-d1ab-4627-9cd7-608ac53b171e.png,https://www.airbnb.com/rooms/1454534749108303824?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3iXRoQ_zLqeITkJ&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.549675
Condo in Islamabad,"$1,111 $769 Show price breakdown $769 monthly, originally $1,111 monthly",4.88,,https://a0.muscache.com/im/pictures/hosting/Hosting-1260636450276573445/original/0b6f5b8f-d29f-4291-bead-534b6a0ce366.jpeg?im_w=720,https://www.airbnb.com/rooms/1260636450276573445?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3DAGGs9pefrHhD9&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.553555
Apartment in Islamabad,"$732 $592 Show price breakdown $592 monthly, originally $732 monthly",,,https://a0.muscache.com/im/pictures/hosting/Hosting-1478157520303468402/original/9df8ad2d-5c6d-485c-a5af-d2a542eb92db.jpeg?im_w=720,https://www.airbnb.com/rooms/1478157520303468402?search_mode=regular_search&adults=1&check_in=2025-09-01&check_out=2026-09-01&children=0&infants=0&pets=0&source_impression_id=p3_1754981074_P3kOjcuov4XcuYO3&previous_page_section_name=1000&federated_search_id=a97f290b-2811-4f9a-bdc2-e4fba45eb823,Islamabad,1,2025-08-12T06:44:50.557411
